 Entering Gaussian System, Link 0=g16
 Input=1m5901.com
 Output=1m5901.log
 Initial command:
 /sw/chem/gaussian/g16_C02/a100/g16/l1.exe "/local/bebjones_8022125/Gau-21784.inp" -scrdir="/local/bebjones_8022125/"
 Entering Link 1 = /sw/chem/gaussian/g16_C02/a100/g16/l1.exe PID=     21785.
  
 Copyright (c) 1988-2021, Gaussian, Inc.  All Rights Reserved.
  
 This is part of the Gaussian(R) 16 program.  It is based on
 the Gaussian(R) 09 system (copyright 2009, Gaussian, Inc.),
 the Gaussian(R) 03 system (copyright 2003, Gaussian, Inc.),
 the Gaussian(R) 98 system (copyright 1998, Gaussian, Inc.),
 the Gaussian(R) 94 system (copyright 1995, Gaussian, Inc.),
 the Gaussian 92(TM) system (copyright 1992, Gaussian, Inc.),
 the Gaussian 90(TM) system (copyright 1990, Gaussian, Inc.),
 the Gaussian 88(TM) system (copyright 1988, Gaussian, Inc.),
 the Gaussian 86(TM) system (copyright 1986, Carnegie Mellon
 University), and the Gaussian 82(TM) system (copyright 1983,
 Carnegie Mellon University). Gaussian is a federally registered
 trademark of Gaussian, Inc.
  
 This software contains proprietary and confidential information,
 including trade secrets, belonging to Gaussian, Inc.
  
 This software is provided under written license and may be
 used, copied, transmitted, or stored only in accord with that
 written license.
  
 The following legend is applicable only to US Government
 contracts under FAR:
  
                    RESTRICTED RIGHTS LEGEND
  
 Use, reproduction and disclosure by the US Government is
 subject to restrictions as set forth in subparagraphs (a)
 and (c) of the Commercial Computer Software - Restricted
 Rights clause in FAR 52.227-19.
  
 Gaussian, Inc.
 340 Quinnipiac St., Bldg. 40, Wallingford CT 06492
  
  
 ---------------------------------------------------------------
 Warning -- This program may not be used in any manner that
 competes with the business of Gaussian, Inc. or will provide
 assistance to any competitor of Gaussian, Inc.  The licensee
 of this program is prohibited from giving any competitor of
 Gaussian, Inc. access to this program.  By using this program,
 the user acknowledges that Gaussian, Inc. is engaged in the
 business of creating and licensing software in the field of
 computational chemistry and represents and warrants to the
 licensee that it is not a competitor of Gaussian, Inc. and that
 it will not use this program in any manner prohibited above.
 ---------------------------------------------------------------
  

 Cite this work as:
 Gaussian 16, Revision C.02,
 M. J. Frisch, G. W. Trucks, H. B. Schlegel, G. E. Scuseria, 
 M. A. Robb, J. R. Cheeseman, G. Scalmani, V. Barone, 
 G. A. Petersson, H. Nakatsuji, X. Li, M. Caricato, A. V. Marenich, 
 J. Bloino, B. G. Janesko, R. Gomperts, B. Mennucci, H. P. Hratchian, 
 J. V. Ortiz, A. F. Izmaylov, J. L. Sonnenberg, D. Williams-Young, 
 F. Ding, F. Lipparini, F. Egidi, J. Goings, B. Peng, A. Petrone, 
 T. Henderson, D. Ranasinghe, V. G. Zakrzewski, J. Gao, N. Rega, 
 G. Zheng, W. Liang, M. Hada, M. Ehara, K. Toyota, R. Fukuda, 
 J. Hasegawa, M. Ishida, T. Nakajima, Y. Honda, O. Kitao, H. Nakai, 
 T. Vreven, K. Throssell, J. A. Montgomery, Jr., J. E. Peralta, 
 F. Ogliaro, M. J. Bearpark, J. J. Heyd, E. N. Brothers, K. N. Kudin, 
 V. N. Staroverov, T. A. Keith, R. Kobayashi, J. Normand, 
 K. Raghavachari, A. P. Rendell, J. C. Burant, S. S. Iyengar, 
 J. Tomasi, M. Cossi, J. M. Millam, M. Klene, C. Adamo, R. Cammi, 
 J. W. Ochterski, R. L. Martin, K. Morokuma, O. Farkas, 
 J. B. Foresman, and D. J. Fox, Gaussian, Inc., Wallingford CT, 2019.
 
 ******************************************
 Gaussian 16:  ES64L-G16RevC.02  7-Dec-2021
                19-Sep-2024 
 ******************************************
 %mem=16GB
 %CPU=0-71
 SetSPE:  set environment variable "OMP_PROC_BIND" = "true"
 SetSPE:  set environment variable "OMP_PLACES" = "{0},{1},{2},{3},{4},{5},{6},{7},{8},{9},{10},{11},{12},{13},{14},{15},{16},{17},{18},{19},{20},{21},{22},{23},{24},{25},{26},{27},{28},{29},{30},{31},{32},{33},{34},{35},{36},{37},{38},{39},{40},{41},{42},{43},{44},{45},{46},{47},{48},{49},{50},{51},{52},{53},{54},{55},{56},{57},{58},{59},{60},{61},{62},{63},{64},{65},{66},{67},{68},{69},{70},{71}"
 Will use up to   72 processors via shared memory.
 %gpucpu=0,1,2,3=0,1,2,3
 Will use    4 GPUs:
 Thread  CPU   GPU
      0    0     0
      1    1     1
      2    2     2
      3    3     3
      4    4    -1
      5    5    -1
      6    6    -1
      7    7    -1
      8    8    -1
      9    9    -1
     10   10    -1
     11   11    -1
     12   12    -1
     13   13    -1
     14   14    -1
     15   15    -1
     16   16    -1
     17   17    -1
     18   18    -1
     19   19    -1
     20   20    -1
     21   21    -1
     22   22    -1
     23   23    -1
     24   24    -1
     25   25    -1
     26   26    -1
     27   27    -1
     28   28    -1
     29   29    -1
     30   30    -1
     31   31    -1
     32   32    -1
     33   33    -1
     34   34    -1
     35   35    -1
     36   36    -1
     37   37    -1
     38   38    -1
     39   39    -1
     40   40    -1
     41   41    -1
     42   42    -1
     43   43    -1
     44   44    -1
     45   45    -1
     46   46    -1
     47   47    -1
     48   48    -1
     49   49    -1
     50   50    -1
     51   51    -1
     52   52    -1
     53   53    -1
     54   54    -1
     55   55    -1
     56   56    -1
     57   57    -1
     58   58    -1
     59   59    -1
     60   60    -1
     61   61    -1
     62   62    -1
     63   63    -1
     64   64    -1
     65   65    -1
     66   66    -1
     67   67    -1
     68   68    -1
     69   69    -1
     70   70    -1
     71   71    -1
 SetGPE:  set environment variable "OMP_PROC_BIND" = "true"
 SetGPE:  set environment variable "OMP_PLACES" = "{0},{1},{2},{3},{4},{5},{6},{7},{8},{9},{10},{11},{12},{13},{14},{15},{16},{17},{18},{19},{20},{21},{22},{23},{24},{25},{26},{27},{28},{29},{30},{31},{32},{33},{34},{35},{36},{37},{38},{39},{40},{41},{42},{43},{44},{45},{46},{47},{48},{49},{50},{51},{52},{53},{54},{55},{56},{57},{58},{59},{60},{61},{62},{63},{64},{65},{66},{67},{68},{69},{70},{71}"
 %chk=1m59_II_O.chk
 Properties for Device   0
 Minimum vector length:                              32
 Maximum vector length:                            1024
 Number of SMPs:                                    108
 Maximum number of threads per SMP:                2048
 Number of ASync Engines:                             5
 Memory:                                           9207742464
 Properties for Device   1
 Minimum vector length:                              32
 Maximum vector length:                            1024
 Number of SMPs:                                    108
 Maximum number of threads per SMP:                2048
 Number of ASync Engines:                             5
 Memory:                                           9207742464
 Properties for Device   2
 Minimum vector length:                              32
 Maximum vector length:                            1024
 Number of SMPs:                                    108
 Maximum number of threads per SMP:                2048
 Number of ASync Engines:                             5
 Memory:                                           9207742464
 Properties for Device   3
 Minimum vector length:                              32
 Maximum vector length:                            1024
 Number of SMPs:                                    108
 Maximum number of threads per SMP:                2048
 Number of ASync Engines:                             5
 Memory:                                           9207742464
   8286968217 words of memory will be used on each GPU.
 ------------------------------------------
 # polar def2tzvp apfd int=(grid=ultrafine)
 ------------------------------------------
 1/38=1,172=1/1;
 2/12=2,17=6,18=5,40=1/2;
 3/5=44,7=101,11=2,25=1,30=1,74=-44,75=-5/1,2,3;
 4//1;
 5/5=2,38=5,98=1/2;
 8/6=4,10=90,11=11/1;
 10/6=1,13=10/2;
 6/7=2,8=2,9=2,10=2,28=1/1;
 99/5=1,9=1/99;
 ---------
 1m59_II_S
 ---------
 Symbolic Z-matrix:
 Charge =  0 Multiplicity = 1
 Fe                    11.779    2.508    -2.436 
 N                     12.42     3.522    -4.013 
 N                     13.457    2.968    -1.461 
 N                     11.126    1.483    -0.853 
 N                     10.085    2.065    -3.378 
 C                     11.83     3.599    -5.274 
 C                     12.71     4.295    -6.196 
 C                     13.757    4.76     -5.491 
 C                     13.591    4.263    -4.138 
 C                     14.503    3.771    -1.902 
 C                     15.539    3.902    -0.89 
 C                     15.14     3.199     0.181 
 C                     13.846    2.588    -0.18 
 C                     11.839    1.221     0.317 
 C                     11.116    0.3       1.184 
 C                     9.932     0.012     0.571 
 C                     9.927     0.773    -0.686 
 C                     8.984     1.351    -2.9 
 C                     7.923     1.33     -3.894 
 C                     8.379     1.972    -5.004 
 C                     9.731     2.416    -4.695 
 C                     10.551    3.118    -5.589 
 H                     10.17     3.302    -6.594 
 C                     14.557    4.392    -3.149 
 H                     15.419    5.024    -3.363 
 C                     13.085    1.758     0.639 
 H                     13.499    1.506     1.616 
 C                     8.901     0.738    -1.646 
 H                     7.986     0.201    -1.398 
 C                     14.881    5.643    -6.019 
 H                     14.549    6.147    -6.952 
 H                     15.773    5.021    -6.244 
 H                     15.138    6.416    -5.263 
 C                     12.516    4.427    -7.704 
 H                     12.087    5.425    -7.937 
 H                     11.817    3.642    -8.063 
 H                     13.496    4.327    -8.219 
 C                     16.818    4.747    -0.991 
 H                     16.619    5.768    -0.602 
 H                     17.136    4.822    -2.053 
 H                     17.624    4.281    -0.385 
 C                     15.812    3.242     1.407 
 H                     16.202    4.208     1.759 
 C                     16.034    2.136     2.24 
 H                     15.672    1.138     1.952 
 H                     16.573    2.253     3.192 
 C                     11.597   -0.169     2.553 
 H                     11.223    0.525     3.335 
 H                     12.708   -0.176     2.578 
 H                     11.206   -1.188     2.759 
 C                     8.904    -0.833     0.989 
 H                     8.29     -1.316     0.216 
 C                     8.569    -1.134     2.308 
 H                     9.134    -0.693     3.142 
 H                     7.736    -1.817     2.531 
 C                     6.532     0.759    -3.672 
 H                     6.107     1.172    -2.732 
 H                     6.59     -0.347    -3.586 
 H                     5.871     1.04     -4.52 
 C                     7.607     2.254    -6.299 
 H                     7.093     3.236    -6.218 
 H                     6.846     1.461    -6.462 
 H                     8.312     2.286    -7.157 
 C                     10.56     7.676    -0.461 
 H                     10.587    7.724     0.649 
 H                     9.68      8.249    -0.825 
 H                     11.495    8.12     -0.864 
 N                     9.397     5.429    -0.564 
 H                     8.59      5.705    -0.042 
 C                     10.45     6.252    -0.896 
 C                     9.652     4.217    -1.06 
 H                     8.978     3.369    -0.942 
 N                     10.806    4.2      -1.695 
 C                     11.315    5.48     -1.599 
 H                     12.268    5.726    -2.051 
 C                     15.307   -1.041    -4.905 
 H                     15.93    -0.196    -5.269 
 H                     14.909   -1.598    -5.78 
 H                     15.938   -1.712    -4.283 
 N                     13.251   -1.299    -3.437 
 H                     13.253   -2.299    -3.418 
 C                     14.174   -0.51     -4.086 
 C                     12.367   -0.483    -2.848 
 H                     11.523   -0.842    -2.26 
 N                     12.662    0.779    -3.079 
 C                     13.795    0.77     -3.851 
 H                     14.243    1.702    -4.173 
 
 Stoichiometry    C38H40FeN8
 Framework group  C1[X(C38H40FeN8)]
 Deg. of freedom   255
 Full point group                 C1      NOp   1
 Largest Abelian subgroup         C1      NOp   1
 Largest concise Abelian subgroup C1      NOp   1
                         Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1         26           0       -0.128395   -0.164944    0.013783
      2          7           0       -2.100390   -0.350033    0.068405
      3          7           0       -0.315091    1.819658    0.080174
      4          7           0        1.858661    0.011896   -0.043318
      5          7           0        0.081322   -2.141838   -0.020287
      6          6           0       -2.851082   -1.516411   -0.073632
      7          6           0       -4.264803   -1.194292   -0.154440
      8          6           0       -4.398006    0.124989    0.071864
      9          6           0       -3.053153    0.656726    0.189339
     10          6           0       -1.486990    2.559521    0.192700
     11          6           0       -1.214263    3.986839    0.247322
     12          6           0        0.117244    4.140088    0.183641
     13          6           0        0.686877    2.785025    0.051728
     14          6           0        2.583089    1.200163   -0.138906
     15          6           0        4.003995    0.941407   -0.330555
     16          6           0        4.174043   -0.411938   -0.320123
     17          6           0        2.839145   -0.989854   -0.112142
     18          6           0        1.258997   -2.892543   -0.022522
     19          6           0        0.954647   -4.313300    0.032428
     20          6           0       -0.399125   -4.450804    0.008090
     21          6           0       -0.947723   -3.102858   -0.042928
     22          6           0       -2.318482   -2.813575   -0.085058
     23          1           0       -3.015589   -3.650895   -0.129549
     24          6           0       -2.767933    2.013669    0.261966
     25          1           0       -3.605437    2.701058    0.381743
     26          6           0        2.041124    2.482854   -0.064419
     27          1           0        2.737749    3.321209   -0.100524
     28          6           0        2.553177   -2.365367   -0.071052
     29          1           0        3.390326   -3.062677   -0.077288
     30          6           0       -5.708462    0.893350    0.190921
     31          1           0       -6.532955    0.185741    0.423798
     32          1           0       -5.933020    1.403836   -0.769366
     33          1           0       -5.632400    1.640990    1.009677
     34          6           0       -5.393980   -2.163470   -0.493228
     35          1           0       -5.897658   -2.488021    0.442351
     36          1           0       -4.980636   -3.056697   -1.008008
     37          1           0       -6.138388   -1.659222   -1.146847
     38          6           0       -2.245997    5.111579    0.422108
     39          1           0       -2.385002    5.321824    1.503698
     40          1           0       -3.219892    4.798997   -0.011959
     41          1           0       -1.884228    6.033624   -0.080868
     42          6           0        0.746913    5.373122    0.382770
     43          1           0        0.364416    6.037347    1.171225
     44          6           0        1.845268    5.841629   -0.352436
     45          1           0        2.280864    5.230629   -1.156753
     46          1           0        2.284864    6.826213   -0.133660
     47          6           0        5.079618    2.016811   -0.440216
     48          1           0        5.475897    2.249091    0.570746
     49          1           0        4.643267    2.940423   -0.877860
     50          1           0        5.912101    1.650881   -1.077982
     51          6           0        5.342305   -1.156258   -0.483481
     52          1           0        5.254256   -2.160776   -0.920521
     53          6           0        6.632149   -0.751269   -0.144551
     54          1           0        6.807877    0.240130    0.297614
     55          1           0        7.490267   -1.417872   -0.315962
     56          6           0        1.985860   -5.420514    0.176943
     57          1           0        2.664911   -5.186811    1.024921
     58          1           0        2.585951   -5.497961   -0.754662
     59          1           0        1.474331   -6.385810    0.380728
     60          6           0       -1.204005   -5.753186    0.100299
     61          1           0       -1.426579   -5.976957    1.165883
     62          1           0       -0.612505   -6.590528   -0.328100
     63          1           0       -2.161429   -5.642787   -0.452298
     64          6           0       -0.740016    0.728965    5.574508
     65          1           0        0.065613    1.370031    5.992994
     66          1           0       -0.941932   -0.103771    6.282325
     67          1           0       -1.655871    1.342797    5.439639
     68          7           0        0.797701   -0.631547    4.092408
     69          1           0        1.387029   -0.962662    4.829269
     70          6           0       -0.304607    0.177215    4.257279
     71          6           0        0.929022   -0.884586    2.789062
     72          1           0        1.725295   -1.504378    2.377829
     73          7           0       -0.020109   -0.290839    2.094912
     74          6           0       -0.804391    0.378877    3.013106
     75          1           0       -1.664754    0.949617    2.685903
     76          6           0       -1.662776    0.814551   -5.261101
     77          1           0       -2.622862    1.256549   -4.918285
     78          1           0       -1.879922   -0.080585   -5.882276
     79          1           0       -1.113021    1.569973   -5.863092
     80          7           0        0.428989   -0.102765   -4.151249
     81          1           0        0.947878   -0.246514   -4.994134
     82          6           0       -0.842637    0.419488   -4.074633
     83          6           0        0.828010   -0.375945   -2.902094
     84          1           0        1.803503   -0.800009   -2.666417
     85          7           0       -0.106561   -0.064626   -2.028774
     86          6           0       -1.154866    0.437683   -2.755751
     87          1           0       -2.054818    0.772890   -2.255018
 ---------------------------------------------------------------------
 Rotational constants (GHZ):           0.0758295           0.0732438           0.0579571
 Standard basis: def2TZVP (5D, 7F)
 There are  1948 symmetry adapted cartesian basis functions of A   symmetry.
 There are  1711 symmetry adapted basis functions of A   symmetry.
  1711 basis functions,  2768 primitive gaussians,  1948 cartesian basis functions
   175 alpha electrons      175 beta electrons
       nuclear repulsion energy      7090.2912250974 Hartrees.
 NAtoms=   87 NActive=   87 NUniq=   87 SFac= 1.00D+00 NAtFMM=   60 NAOKFM=T Big=T
 Integral buffers will be    131072 words long.
 Raffenetti 2 integral format.
 Two-electron integral symmetry is turned on.
 R6APFD:  NTU= -4 IXU= 1 FactS= 1.050
 Nuclear repulsion after empirical dispersion term =     7090.1261377078 Hartrees.
 One-electron integrals computed using PRISM.
   1 Symmetry operations used in ECPInt.
 ECPInt:  NShTT=  232221 NPrTT=  716997 LenC2=  181951 LenP2D=  368056.
 LDataN:  DoStor=T MaxTD1= 6 Len=  172
 Number of processors reduced to  20 by ecpmxn.
 NBasis=  1711 RedAO= T EigKep=  3.70D-06  NBF=  1711
 NBsUse=  1711 1.00D-06 EigRej= -1.00D+00 NBFU=  1711
 ExpMin= 4.20D-02 ExpMax= 3.01D+05 ExpMxC= 2.91D+03 IAcc=3 IRadAn=         5 AccDes= 0.00D+00
 Harris functional with IExCor= 3731 and IRadAn=       5 diagonalized for initial guess.
