<<<<<<< HEAD
PDBID,RMSD
1aom,1.0224461887720061e-07
1b5m,0.3199121010036521
1aom,0.4924009713205808
1b5m,0.3199025576749715
1cce,0.354405049669615
1cxy,0.4931156861897013
1cyo,0.0
1e29,0.582604753025538
1ehb,1.0224461887720061e-07
1ehk,0.398680515652017
1es1,1.0224461887720061e-07
1fcb,0.380935942404696
1hlb,0.0
1kbi,1.0224461887720061e-07
1lco,0.6050034282550737
1ldc,0.5400943288465087
1lqx,0.4578795797615552
1lr6,1.4459572669580526e-07
1ltd,0.500016958126169
1m20,0.3218516642999771
1m2i,0.378177091556015
1m2m,0.4101418949607837
1m59,0.3076174529836569
1mj4,0.189194655984006
1mz4,1.4459572669580526e-07
1nek,0.6599784722326617
1nen,0.6865715856636929
1u9u,1.0224461887720061e-07
1qhu,0.5399275177258127
1rtx,0.3771660678083286
1u9u,0.3967931266192127
1v5h,0.4363897918475185
1xme,0.4154567628979933
1y5l,0.0
1zoy,0.5638795108876622
2bk9,1.0224461887720061e-07
2c8s,0.2921837546295515
2ggn,1.4459572669580526e-07
2hz1,1.0224461887720061e-07
2hz2,0.4250637752530537
2hz3,0.393656858793894
2oz0,0.6020987456476002
2qpe,1.0224461887720061e-07
2vnx,1.0268463926061973
2vo2,0.4693029298017911
3ae4,0.0
3aeb,0.0
3aef,0.5262433537643388
3eh4,1.4459572669580526e-07
3eh5,0.3962381379940841
3ovu,1.4459572669580526e-07
3qjq,0.4707206177818989
3qjs,0.4753379974845161
3qjt,0.5408826624060284
3qju,0.5725610638205159
3qjv,0.4392726644660957
3s8f,0.4222412518488687
3s8g,0.4459046083810781
3sfd,0.5041292062936197
3sfe,0.4839753149123055
3vp5,0.2852778561384483
3x32,0.2136253159879432
3x33,1.0224461887720061e-07
3x35,1.0224461887720061e-07
4bja,0.333958831387951
4fa7,0.4386461219510018
4faa,0.4573815684695255
4g70,0.5451412813558634
4g71,0.5690306837270707
4g7q,0.4605613778911054
4g7s,0.4414406820117628
4gp4,0.4733376291986917
4gp5,0.5459493905057078
4gp8,0.5004774496580491
4kvk,0.0
4n4y,0.4937269716333305
4o4t,0.4081402706639059
4o4z,0.3422016436514281
4pqb,0.5001396237083127
4xxl,0.0
4yxd,0.4519331498887268
5eet,0.4151536091192735
5eoh,0.4337016153525681
5eqm,0.0
5eu2,0.4119231403445934
5ev5,0.0
5eyj,0.4280724234685477
5eys,1.0224461887720061e-07
5f0b,0.0
5f2a,0.3869334310347088
