,# PDB,function,Heme,multiheme,ligand,axial1,axial2,pocket_volume,saddling,ruffling,doming,breathing,rotation,wavx,wavy,pro,nstr,mstr,transx,transy
0,101m,oxygen carrier,HEM_A_155,0,HIS-NBN,HIS,NBN,553.0,0.288,0.117,-0.32,-0.042,0.007,0.111,0.043,-0.006,-0.084,0.014,-0.032,-0.033
1,102m,oxygen carrier,HEM_A_155,0,HIS-HOH,HIS,HOH,552.0,0.099,-0.056,-0.295,0.024,-0.022,0.096,0.014,-0.024,-0.028,-0.123,0.028,-0.026
2,103m,oxygen carrier,HEM_A_155,0,HIS-NBN,HIS,NBN,553.0,0.32,-0.023,-0.185,-0.072,-0.007,0.079,0.028,-0.04,0.023,0.033,-0.057,0.006
3,104m,oxygen carrier,HEM_A_155,0,HIS-NBN,HIS,NBN,570.0,0.151,0.019,-0.238,-0.144,0.01,0.108,0.051,-0.022,-0.057,0.005,-0.029,0.02
4,105m,oxygen carrier,HEM_A_155,0,HIS-NBN,HIS,NBN,576.0,0.15,-0.12,-0.246,-0.18,-0.004,-0.01,0.032,-0.039,-0.071,0.057,-0.086,-0.007
5,106m,oxygen carrier,HEM_A_155,0,HIS-ENC,HIS,ENC,545.0,0.255,-0.228,-0.18,-0.16,-0.006,0.058,0.002,-0.006,0.074,-0.102,-0.013,-0.009
6,107m,oxygen carrier,HEM_A_155,0,HIS-NBN,HIS,NBN,547.0,0.333,-0.1,-0.095,-0.066,-0.015,0.042,-0.016,-0.025,0.246,0.03,-0.021,-0.024
7,108m,oxygen carrier,HEM_A_155,0,HIS-NBN,HIS,NBN,528.0,0.07,-0.034,-0.148,-0.014,-0.056,0.189,-0.027,-0.035,0.353,-0.24,-0.022,-0.107
8,109m,oxygen carrier,HEM_A_155,0,HIS-ENC,HIS,ENC,531.0,0.233,-0.0,-0.217,-0.087,0.035,0.132,0.029,0.011,0.029,0.039,0.045,-0.015
9,110m,oxygen carrier,HEM_A_155,0,HIS-MNC,HIS,MNC,538.0,0.212,0.049,-0.216,-0.118,0.023,0.1,0.012,0.025,0.01,0.048,-0.012,0.02
10,111m,oxygen carrier,HEM_A_155,0,HIS-NBN,HIS,NBN,557.0,0.164,-0.111,-0.252,-0.075,-0.009,0.107,0.007,-0.002,0.127,0.079,-0.04,-0.012
11,112m,oxygen carrier,HEM_A_155,0,HIS-NPN,HIS,NPN,560.0,0.172,0.06,-0.157,-0.149,0.008,0.097,0.008,-0.046,0.074,0.102,0.084,0.05
12,155c,electron transporter,HEM_A_135,0,HIS-MET,HIS,MET,330.0,0.139,-0.148,-0.209,-0.722,-0.02,-0.039,-0.025,-0.057,-0.049,0.118,-0.009,0.037
47,1a2f,oxidoreductase,HEM_A_1,0,HIS-HOH,HIS,HOH,443.0,-0.605,0.183,0.176,-0.053,0.011,-0.093,0.162,0.019,0.049,-0.042,-0.021,-0.019
48,1a2g,oxidoreductase,HEM_A_1,0,HIS-HOH,HIS,HOH,458.0,-0.617,0.391,0.121,-0.052,-0.007,-0.024,0.06,-0.007,0.06,-0.015,0.003,0.008
63,1a6g,oxygen carrier,HEM_A_154,0,HIS-CMO,HIS,CMO,467.0,0.138,-0.016,-0.162,-0.078,-0.011,0.181,0.021,-0.05,0.029,-0.049,-0.006,-0.007
64,1a6k,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,515.0,0.117,-0.044,-0.18,-0.205,0.02,0.163,0.042,-0.044,0.029,0.027,-0.021,0.012
65,1a6m,oxygen carrier,HEM_A_154,0,HIS-OXY,HIS,OXY,514.0,0.185,-0.012,-0.227,-0.095,-0.012,0.184,0.034,-0.07,0.021,0.017,-0.006,0.019
